Name,private,apps,accept,enroll,full_time,part_time,outstate,room_board,books,personal,prof_phd,prof_terminal,std_by_prof,perc_alumni,grad_rate
Abilene Christian University,Yes,1660,1232,721,2885,537,7440,3300,450,2200,70,78,18.1,12,60
Adelphi University,Yes,2186,1924,512,2683,1227,12280,6450,750,1500,29,30,12.2,16,56
Adrian College,Yes,1428,1097,336,1036,99,11250,3750,400,1165,53,66,12.9,30,54
Agnes Scott College,Yes,417,349,137,510,63,12960,5450,450,875,92,97,7.7,37,59
Alaska Pacific University,Yes,193,146,55,249,869,7560,4120,800,1500,76,72,11.9,2,15
Albertson College,Yes,587,479,158,678,41,13500,3335,500,675,67,73,9.4,11,55
Albertus Magnus College,Yes,353,340,103,416,230,13290,5720,500,1500,90,93,11.5,26,63
Albion College,Yes,1899,1720,489,1594,32,13868,4826,450,850,89,100,13.7,37,73
Albright College,Yes,1038,839,227,973,306,15595,4400,300,500,79,84,11.3,23,80
Alderson-Broaddus College,Yes,582,498,172,799,78,10468,3380,660,1800,40,41,11.5,15,52
Alfred University,Yes,1732,1425,472,1830,110,16548,5406,500,600,82,88,11.3,31,73
Allegheny College,Yes,2652,1900,484,1707,44,17080,4440,400,600,73,91,9.9,41,76
Allentown Coll. of St. Francis de Sales,Yes,1179,780,290,1130,638,9690,4785,600,1000,60,84,13.3,21,74
Alma College,Yes,1267,1080,385,1306,28,12572,4552,400,400,79,87,15.3,32,68
Alverno College,Yes,494,313,157,1317,1235,8352,3640,650,2449,36,69,11.1,26,55
American International College,Yes,1420,1093,220,1018,287,8700,4780,450,1400,78,84,14.7,19,69
Amherst College,Yes,4302,992,418,1593,5,19760,5300,660,1598,93,98,8.4,63,100
Anderson University,Yes,1216,908,423,1819,281,10100,3520,550,1100,48,61,12.1,14,59
Andrews University,Yes,1130,704,322,1586,326,9996,3090,900,1320,62,66,11.5,18,46
Angelo State University,No,3540,2001,1016,4190,1512,5130,3592,500,2000,60,62,23.1,5,34
Antioch University,Yes,713,661,252,712,23,15476,3336,400,1100,69,82,11.3,35,48
Appalachian State University,No,7313,4664,1910,9940,1035,6806,2540,96,2000,83,96,18.3,14,70
Aquinas College,Yes,619,516,219,1251,767,11208,4124,350,1615,55,65,12.7,25,65
Arizona State University Main campus,No,12809,10308,3761,22593,7585,7434,4850,700,2100,88,93,18.9,5,48
Arkansas College (Lyon College),Yes,708,334,166,530,182,8644,3922,500,800,79,88,12.6,24,54
Arkansas Tech University,No,1734,1729,951,3602,939,3460,2650,450,1000,57,60,19.6,5,48
Assumption College,Yes,2135,1700,491,1708,689,12000,5920,500,500,93,93,13.8,30,88
Auburn University-Main Campus,No,7548,6791,3070,16262,1716,6300,3933,600,1908,85,91,16.7,18,69
Augsburg College,Yes,662,513,257,2074,726,11902,4372,540,950,65,65,12.8,31,58
Augustana College IL,Yes,1879,1658,497,1950,38,13353,4173,540,821,78,83,12.7,40,71
Augustana College,Yes,761,725,306,1337,300,10990,3244,600,1021,66,70,10.4,30,69
Austin College,Yes,948,798,295,1120,15,11280,4342,400,1150,81,95,13,33,71
Averett College,Yes,627,556,172,777,538,9925,4135,750,1350,59,67,22.4,11,48
Baker University,Yes,602,483,206,958,466,8620,4100,400,2250,58,68,11,21,65
Baldwin-Wallace College,Yes,1690,1366,662,2718,1460,10995,4410,1000,1000,68,74,17.6,20,85
Barat College,Yes,261,192,111,453,266,9690,4300,500,500,57,77,9.7,35,71
Bard College,Yes,1910,838,285,1004,15,19264,6206,750,750,98,98,10.4,30,79
Barnard College,Yes,2496,1402,531,2121,69,17926,8124,600,850,83,93,10.3,33,91
Barry University,Yes,990,784,279,1811,3144,11290,5360,600,1800,76,78,12.6,11,72
Baylor University,Yes,6075,5349,2367,9919,484,6450,3920,600,1346,71,76,18.5,38,72
Beaver College,Yes,1163,850,348,878,519,12850,5400,400,800,78,89,12.2,30,73
Bellarmine College,Yes,807,707,308,1198,605,8840,2950,750,1290,74,82,13.1,31,84
Belmont Abbey College,Yes,632,494,129,709,131,9000,4850,300,2480,78,85,13.2,10,52
Belmont University,Yes,1220,974,481,1964,623,7800,3664,650,900,61,61,11.1,19,49
Beloit College,Yes,1320,923,284,1085,81,16304,3616,355,715,87,95,11.1,26,69
Bemidji State University,No,1208,877,546,3796,824,4425,2700,660,1800,57,62,19.6,16,46
Benedictine College,Yes,632,620,222,702,501,9550,3850,350,250,64,84,14.1,18,58
Bennington College,Yes,519,327,114,457,2,21700,4100,600,500,35,59,10.1,33,55
Bentley College,Yes,3466,2330,640,3095,1533,13800,5510,630,850,87,87,17.5,20,82
Berry College,Yes,1858,1221,480,1620,49,8050,3940,350,2375,80,80,16.3,17,63
Bethany College,Yes,878,816,200,706,62,8740,3363,550,1700,62,68,11.6,29,48
Bethel College KS,Yes,202,184,122,537,101,8540,3580,500,1400,61,80,8.8,32,56
Bethel College,Yes,502,384,104,347,74,6200,2900,600,800,63,63,11.7,13,35
Bethune Cookman College,Yes,1646,1150,542,2128,82,5188,3396,650,2500,48,48,13.8,9,58
Birmingham-Southern College,Yes,805,588,287,1376,207,11660,4325,400,900,74,79,14,34,72
Blackburn College,Yes,500,336,156,421,27,6500,2700,500,1000,76,76,14.3,53,51
Bloomsburg Univ. of Pennsylvania,No,6773,3028,1025,5847,946,7844,2948,500,1680,66,68,18,19,75
Bluefield College,Yes,377,358,181,653,129,7150,4350,450,1500,61,67,17.8,3,53
Bluffton College,Yes,692,514,209,760,81,9900,3990,400,900,76,71,13.3,19,58
Boston University,Yes,20192,13007,3810,14971,3113,18420,6810,475,1025,80,81,11.9,16,72
Bowdoin College,Yes,3356,1019,418,1490,8,19030,5885,1495,875,93,96,11.2,52,96
Bowling Green State University,No,9251,7333,3076,13699,1213,7452,3352,600,1700,81,89,21.1,14,67
Bradford College,Yes,443,330,151,453,42,14080,6270,500,900,57,80,10.2,21,46
Albright College,Yes,1038,839,227,973,306,15595,4400,300,500,79,84,11.3,23,80
Bradley University,Yes,3767,3414,1061,4531,643,10870,4440,2000,1522,75,81,14.4,21,85
Brandeis University,Yes,4186,2743,740,2819,62,19380,6750,410,1000,90,97,9.8,24,84
Brenau University,Yes,367,274,158,917,479,9592,5879,500,700,71,80,13.7,12,49
Brewton-Parker College,Yes,1436,1228,1202,1320,822,4371,2370,500,2000,62,62,12.6,10,18
Briar Cliff College,Yes,392,351,155,738,430,10260,3597,600,1500,39,66,13.1,26,58
Bridgewater College,Yes,838,673,292,881,55,10265,4725,560,875,68,73,13.2,24,82
Brigham Young University at Provo,Yes,7365,5402,4615,27378,1253,2340,3580,860,1220,76,76,20.5,40,33
Brown University,Yes,12586,3239,1462,5643,349,19528,5926,720,1100,99,100,7.6,39,97
