Country,Region,2016,2015,2014,2013,2012
New Zealand,Asia Pacific,90,88,91,91,90
Denmark,Europe and Central Asia,90,91,92,91,90
Finland,Europe and Central Asia,89,90,89,89,90
Sweden,Europe and Central Asia,88,89,87,89,88
Switzerland,Europe and Central Asia,86,86,86,85,86
Norway,Europe and Central Asia,85,87,86,86,85
Singapore,Asia Pacific,84,85,84,86,87
Netherlands,Europe and Central Asia,83,87,83,83,84
Canada,Americas,82,83,81,81,84
Germany,Europe and Central Asia,81,81,79,78,79
Luxembourg,Europe and Central Asia,81,81,82,80,80
United Kingdom,Europe and Central Asia,81,81,78,76,74
Australia,Asia Pacific,79,79,80,81,85
Iceland,Europe and Central Asia,78,79,79,78,82
Hong Kong,Asia Pacific,77,75,74,75,77
Belgium,Europe and Central Asia,77,77,76,75,75
Austria,Europe and Central Asia,75,76,72,69,69
The United States of America,Americas,74,76,74,73,73
Ireland,Europe and Central Asia,73,75,74,72,69
Japan,Asia Pacific,72,75,76,74,74
Uruguay,Americas,71,74,73,73,72
Estonia,Europe and Central Asia,70,70,69,68,64
France,Europe and Central Asia,69,70,69,71,71
Bahamas,Americas,66,,71,71,71
Chile,Americas,66,70,73,71,72
United Arab Emirates,Middle East and North Africa,66,70,70,69,68
Bhutan,Asia Pacific,65,65,65,63,63
Poland,Europe and Central Asia,62,62,61,60,58
Portugal,Europe and Central Asia,62,63,63,62,63
Barbados,Americas,61,,74,75,76
Taiwan,Asia Pacific,61,62,61,61,61
Qatar,Middle East and North Africa,61,71,69,68,68
Slovenia,Europe and Central Asia,61,60,58,57,61
Saint Lucia,Americas,60,,,71,71
Saint Vincent and The Grenadines,Americas,60,,67,62,62
Botswana,Sub-Saharan Africa,60,63,63,64,65
Dominica,Americas,59,,58,58,58
Cape Verde,Sub-Saharan Africa,59,55,57,58,60
Lithuania,Europe and Central Asia,59,61,58,57,54
Costa Rica,Americas,58,55,54,53,54
Brunei,Asia Pacific,58,,,60,55
Spain,Europe and Central Asia,58,58,60,59,65
Georgia,Europe and Central Asia,57,52,52,49,52
Latvia,Europe and Central Asia,57,55,55,53,49
Grenada,Americas,56,,,,
Cyprus,Europe and Central Asia,55,61,63,63,66
Czech Republic,Europe and Central Asia,55,56,51,48,49
Malta,Europe and Central Asia,55,56,55,56,57
Mauritius,Sub-Saharan Africa,54,53,54,52,57
Rwanda,Sub-Saharan Africa,54,54,49,53,53
Korea (South),Asia Pacific,53,56,55,55,56
Namibia,Sub-Saharan Africa,52,53,49,48,48
Slovakia,Europe and Central Asia,51,51,50,47,46
Malaysia,Asia Pacific,49,50,52,50,49
Croatia,Europe and Central Asia,49,51,48,48,46
Jordan,Middle East and North Africa,48,53,49,45,48
Hungary,Europe and Central Asia,48,51,54,54,55
Romania,Europe and Central Asia,48,46,43,43,44
Cuba,Americas,47,47,46,46,48
Italy,Europe and Central Asia,47,44,43,43,42
Saudi Arabia,Middle East and North Africa,46,52,49,46,44
Sao Tome and Principe,Sub-Saharan Africa,46,42,42,42,42
Suriname,Americas,45,36,36,36,37
Montenegro,Europe and Central Asia,45,44,42,44,41
Oman,Middle East and North Africa,45,45,45,47,47
Senegal,Sub-Saharan Africa,45,44,43,41,36
South Africa,Sub-Saharan Africa,45,44,44,42,43
Greece,Europe and Central Asia,44,46,43,40,36
Bahrain,Middle East and North Africa,43,51,49,48,51
Ghana,Sub-Saharan Africa,43,47,48,46,45
Solomon Islands,Asia Pacific,42,,,,
Serbia,Europe and Central Asia,42,40,41,42,39
Burkina Faso,Sub-Saharan Africa,42,38,38,38,38
Turkey,Europe and Central Asia,41,42,45,50,49
Kuwait,Middle East and North Africa,41,49,44,43,44
Tunisia,Middle East and North Africa,41,38,40,41,41
Bulgaria,Europe and Central Asia,41,41,43,41,41
Brazil,Americas,40,38,43,42,43
China,Asia Pacific,40,37,36,40,39
India,Asia Pacific,40,38,38,36,36
Belarus,Europe and Central Asia,40,32,31,29,31
Jamaica,Americas,39,41,38,38,38
Albania,Europe and Central Asia,39,36,33,31,33
Bosnia and Herzegovina,Europe and Central Asia,39,38,39,42,42
Lesotho,Sub-Saharan Africa,39,44,49,49,45
Panama,Americas,38,39,37,35,38
Mongolia,Asia Pacific,38,39,39,38,36
Zambia,Sub-Saharan Africa,38,38,38,38,37
Colombia,Americas,37,37,37,36,36
Indonesia,Asia Pacific,37,36,34,32,32
The FYR of Macedonia,Europe and Central Asia,37,42,45,44,43
Morocco,Middle East and North Africa,37,36,39,37,37
Liberia,Sub-Saharan Africa,37,37,37,38,41
Argentina,Americas,36,32,34,34,35
El Salvador,Americas,36,39,39,38,38
Maldives,Asia Pacific,36,,,,
Sri Lanka,Asia Pacific,36,37,38,37,40
Kosovo,Europe and Central Asia,36,33,33,33,34
Benin,Sub-Saharan Africa,36,37,39,36,36
Peru,Americas,35,36,38,38,38
Trinidad and Tobago,Americas,35,39,38,38,39
Philippines,Asia Pacific,35,35,38,36,34
Thailand,Asia Pacific,35,38,38,35,37
Timor-Leste,Asia Pacific,35,28,28,30,33
Gabon,Sub-Saharan Africa,35,34,37,34,35
Niger,Sub-Saharan Africa,35,34,35,34,33
Guyana,Americas,34,29,30,27,28
Algeria,Middle East and North Africa,34,36,36,36,34
Egypt,Middle East and North Africa,34,36,37,32,32
Côte d’Ivoire,Sub-Saharan Africa,34,32,32,27,29
Ethiopia,Sub-Saharan Africa,34,33,33,33,33
Bolivia,Americas,33,34,35,34,34
Vietnam,Asia Pacific,33,31,31,31,31
Armenia,Europe and Central Asia,33,35,37,36,34
Pakistan,Asia Pacific,32,30,29,28,27
Mali,Sub-Saharan Africa,32,35,32,28,34
Tanzania,Sub-Saharan Africa,32,30,31,33,35
Togo,Sub-Saharan Africa,32,32,29,29,30
Dominican Republic,Americas,31,33,32,29,32
Ecuador,Americas,31,32,33,35,32
Malawi,Sub-Saharan Africa,31,31,33,37,37
Honduras,Americas,30,31,29,26,28
Mexico,Americas,30,35,35,34,34
Paraguay,Americas,30,27,24,24,25
Laos,Asia Pacific,30,25,25,26,21
Azerbaijan,Europe and Central Asia,30,29,29,28,27
Moldova,Europe and Central Asia,30,33,35,35,36
Djibouti,Sub-Saharan Africa,30,34,34,36,36
Sierra Leone,Sub-Saharan Africa,30,29,31,30,31
Nepal,Asia Pacific,29,27,29,31,27
Kazakhstan,Europe and Central Asia,29,28,29,26,28
Russia,Europe and Central Asia,29,29,27,28,28
Ukraine,Europe and Central Asia,29,27,26,25,26
Iran,Middle East and North Africa,29,27,27,25,28
Guatemala,Americas,28,28,32,29,33
Myanmar,Asia Pacific,28,22,21,21,15
Papua New Guinea,Asia Pacific,28,25,25,25,25
Kyrgyzstan,Europe and Central Asia,28,28,27,24,24
Lebanon,Middle East and North Africa,28,28,27,28,30
Nigeria,Sub-Saharan Africa,28,26,27,25,27
Guinea,Sub-Saharan Africa,27,25,25,24,24
Mauritania,Sub-Saharan Africa,27,31,30,30,31
Mozambique,Sub-Saharan Africa,27,31,31,30,31
Nicaragua,Americas,26,27,28,28,29
Bangladesh,Asia Pacific,26,25,25,27,26
Cameroon,Sub-Saharan Africa,26,27,27,25,26
Gambia,Sub-Saharan Africa,26,28,29,28,34
Kenya,Sub-Saharan Africa,26,25,25,27,27
Madagascar,Sub-Saharan Africa,26,28,28,28,32
Tajikistan,Europe and Central Asia,25,26,23,22,22
Uganda,Sub-Saharan Africa,25,25,26,26,29
Comoros,Sub-Saharan Africa,24,26,26,28,28
Turkmenistan,Europe and Central Asia,22,18,17,17,17
Zimbabwe,Sub-Saharan Africa,22,21,21,21,20
Cambodia,Asia Pacific,21,21,21,20,22
Uzbekistan,Europe and Central Asia,21,19,18,17,17
The Democratic Republic of Congo,Sub-Saharan Africa,21,22,22,22,21
Haiti,Americas,20,17,19,19,19
Burundi,Sub-Saharan Africa,20,21,20,21,19
Central African Republic,Sub-Saharan Africa,20,24,24,25,26
Chad,Sub-Saharan Africa,20,22,22,19,19
Republic of Congo,Sub-Saharan Africa,20,23,23,22,26
Angola,Sub-Saharan Africa,18,15,19,23,22
Eritrea,Sub-Saharan Africa,18,18,18,20,25
Venezuela,Americas,17,17,19,20,19
Iraq,Middle East and North Africa,17,16,16,16,18
Guinea-Bissau,Sub-Saharan Africa,16,17,19,19,25
Afghanistan,Asia Pacific,15,11,12,8,8
Libya,Middle East and North Africa,14,16,18,15,21
Yemen,Middle East and North Africa,14,18,19,18,23
Sudan,Sub-Saharan Africa,14,12,11,11,13
Syria,Middle East and North Africa,13,18,20,17,26
Korea (North),Asia Pacific,12,8,8,8,8
South Sudan,Sub-Saharan Africa,11,15,15,14,
Somalia,Sub-Saharan Africa,10,8,8,8,8
